,test_mae,test_rmse,test_r2,cv_mae
Linear Regression,0.0008836667808468156,0.0011129555741561349,0.9999739086447181,0.001016303995622285
Ridge Regression,0.0029651282160461042,0.003646469173462188,0.999719917435933,0.0031553196143604247
ElasticNet,0.19115112355848837,0.21841423818242459,-0.004853785475140038,0.17566263657480308
Random Forest,0.0054314795021473935,0.007965198485024945,0.9986636070201605,0.0052444429530968065
Gradient Boosting,0.003990208389772079,0.004970006531072254,0.9994796987137433,0.0045988614878856825
XGBoost,0.004879854550663152,0.006641640755170987,0.9990708373526989,0.006496218029854459
SVR,0.05432518167487226,0.06534120062966652,0.9100678034020637,0.05238890995458423
