,test_mae,test_rmse,test_r2,cv_mae
Linear Regression,0.0003826862788409146,0.000480487346167794,0.999999998412965,0.00043077780491324844
Ridge Regression,0.23206935193086803,0.27158284398584603,0.9994929774863697,0.23561106192550976
ElasticNet,2.4643748708579554,2.953232895853719,0.9400460260433762,2.386773958875689
Random Forest,0.09546932796440188,0.12423963757452328,0.9998938932697015,0.11827315176970676
Gradient Boosting,0.0945817279490577,0.12186157362535639,0.9998979163607415,0.11888649333484555
XGBoost,0.22658471965547922,0.31218103378769024,0.9993300604624648,0.25675767661790067
SVR,1.308777926418099,2.433136007065074,0.9593036601202708,1.4553478350030402
